x,y,val
0.000000,0.000000,474.224075
6.000000,0.000000,749.593665
11.000000,0.000000,131.113667
17.000000,0.000000,-270.998116
23.000000,0.000000,-432.319171
28.000000,0.000000,-450.253056
34.000000,0.000000,-184.689399
40.000000,0.000000,-277.807808
45.000000,0.000000,-564.117043
51.000000,0.000000,-829.348029
57.000000,0.000000,-704.048944
62.000000,0.000000,-497.857909
68.000000,0.000000,-81.994134
74.000000,0.000000,1049.973414
79.000000,0.000000,164.046319
85.000000,0.000000,-108.100714
91.000000,0.000000,-322.244212
96.000000,0.000000,-258.137721
102.000000,0.000000,-403.129118
107.000000,0.000000,-428.512421
113.000000,0.000000,-83.166915
119.000000,0.000000,-305.671030
124.000000,0.000000,-467.913713
130.000000,0.000000,-341.430387
136.000000,0.000000,194.130635
141.000000,0.000000,-230.830118
147.000000,0.000000,-63.347761
153.000000,0.000000,-289.888395
158.000000,0.000000,-539.599303
164.000000,0.000000,-462.833688
170.000000,0.000000,-104.845376
175.000000,0.000000,-579.418403
181.000000,0.000000,-704.204139
187.000000,0.000000,-414.743937
192.000000,0.000000,-159.284279
198.000000,0.000000,-39.921405
5.000000,1.000000,695.238031
10.000000,1.000000,344.548564
16.000000,1.000000,-331.765502
22.000000,1.000000,-283.777047
27.000000,1.000000,-494.400102
33.000000,1.000000,-333.734487
39.000000,1.000000,-453.353661
44.000000,1.000000,-545.623301
50.000000,1.000000,-903.467955
56.000000,1.000000,-811.693758
61.000000,1.000000,-495.168775
67.000000,1.000000,-193.617908
73.000000,1.000000,766.500787
78.000000,1.000000,383.531537
84.000000,1.000000,-225.492388
90.000000,1.000000,-425.950346
95.000000,1.000000,-428.033593
101.000000,1.000000,-415.118207
106.000000,1.000000,-359.975477
112.000000,1.000000,-245.887194
118.000000,1.000000,-251.322814
123.000000,1.000000,-437.307612
129.000000,1.000000,-314.544185
135.000000,1.000000,154.752820
140.000000,1.000000,-135.940050
146.000000,1.000000,-9.118723
152.000000,1.000000,-242.703643
157.000000,1.000000,-634.489336
163.000000,1.000000,-515.243739
169.000000,1.000000,-317.286915
174.000000,1.000000,-430.755898
180.000000,1.000000,-756.420653
186.000000,1.000000,-391.920940
191.000000,1.000000,-393.093982
197.000000,1.000000,-217.627958
4.000000,2.000000,546.320071
9.000000,2.000000,458.838499
15.000000,2.000000,-304.138980
21.000000,2.000000,-272.019182
26.000000,2.000000,-479.976245
32.000000,2.000000,-501.042357
38.000000,2.000000,-385.471731
43.000000,2.000000,-564.907274
49.000000,2.000000,-783.191598
55.000000,2.000000,-749.451485
60.000000,2.000000,-566.599878
66.000000,2.000000,-64.453348
72.000000,2.000000,510.820492
77.000000,2.000000,484.868703
83.000000,2.000000,-209.224154
89.000000,2.000000,-438.816199
94.000000,2.000000,-465.607626
100.000000,2.000000,-321.034092
105.000000,2.000000,-253.282441
111.000000,2.000000,-553.768776
117.000000,2.000000,-342.782839
122.000000,2.000000,-319.216001
128.000000,2.000000,-140.156856
134.000000,2.000000,-111.579532
139.000000,2.000000,-189.582659
145.000000,2.000000,-193.376825
151.000000,2.000000,-120.316064
156.000000,2.000000,-645.131965
162.000000,2.000000,-649.312860
168.000000,2.000000,-319.977125
173.000000,2.000000,-329.651346
179.000000,2.000000,-615.409291
185.000000,2.000000,-333.299848
190.000000,2.000000,-613.131666
196.000000,2.000000,-321.352338
3.000000,3.000000,416.233718
8.000000,3.000000,371.884294
14.000000,3.000000,-285.100351
20.000000,3.000000,-223.639906
25.000000,3.000000,-448.919000
31.000000,3.000000,-532.118557
37.000000,3.000000,-165.224073
42.000000,3.000000,-566.891983
48.000000,3.000000,-795.767135
54.000000,3.000000,-580.554656
59.000000,3.000000,-670.192044
65.000000,3.000000,-48.957117
71.000000,3.000000,214.086222
76.000000,3.000000,629.629187
82.000000,3.000000,-251.803458
88.000000,3.000000,-481.042825
93.000000,3.000000,-449.170623
99.000000,3.000000,-242.416623
104.000000,3.000000,-215.385550
110.000000,3.000000,-594.375634
116.000000,3.000000,-512.264038
121.000000,3.000000,-151.327318
127.000000,3.000000,-8.391020
133.000000,3.000000,-8.445853
138.000000,3.000000,-337.948409
144.000000,3.000000,-304.399582
150.000000,3.000000,208.953231
155.000000,3.000000,-562.799088
161.000000,3.000000,-730.906792
167.000000,3.000000,-289.646541
172.000000,3.000000,-347.809094
178.000000,3.000000,-541.778837
184.000000,3.000000,-449.356053
189.000000,3.000000,-524.349584
195.000000,3.000000,-354.329580
2.000000,4.000000,441.472760
7.000000,4.000000,382.292969
13.000000,4.000000,-295.861224
19.000000,4.000000,-150.565892
24.000000,4.000000,-451.497888
30.000000,4.000000,-595.064639
36.000000,4.000000,-90.977162
41.000000,4.000000,-400.709905
47.000000,4.000000,-698.786938
53.000000,4.000000,-729.854347
58.000000,4.000000,-615.683710
64.000000,4.000000,-230.046768
70.000000,4.000000,-33.651305
75.000000,4.000000,613.284297
81.000000,4.000000,-244.209434
87.000000,4.000000,-381.213731
92.000000,4.000000,-471.466115
98.000000,4.000000,-197.695389
103.000000,4.000000,-275.892196
109.000000,4.000000,-633.861165
115.000000,4.000000,-610.731903
120.000000,4.000000,-189.371493
126.000000,4.000000,264.597496
132.000000,4.000000,114.887707
137.000000,4.000000,-277.435740
143.000000,4.000000,-359.486608
149.000000,4.000000,138.983958
154.000000,4.000000,-466.442092
160.000000,4.000000,-876.725123
166.000000,4.000000,-657.671028
171.000000,4.000000,-72.974779
177.000000,4.000000,-465.241235
183.000000,4.000000,-469.087184
188.000000,4.000000,-282.285261
194.000000,4.000000,-271.441195
1.000000,5.000000,403.358594
6.000000,5.000000,559.851026
12.000000,5.000000,-164.856648
18.000000,5.000000,-210.379718
23.000000,5.000000,-401.438649
29.000000,5.000000,-582.895528
35.000000,5.000000,-210.014272
40.000000,5.000000,-141.168955
46.000000,5.000000,-513.110305
52.000000,5.000000,-872.482517
57.000000,5.000000,-491.623256
63.000000,5.000000,-256.171319
69.000000,5.000000,-104.709197
74.000000,5.000000,567.195395
80.000000,5.000000,-217.879264
86.000000,5.000000,-442.612902
91.000000,5.000000,-390.502309
97.000000,5.000000,-309.096825
102.000000,5.000000,-445.903452
108.000000,5.000000,-724.696472
114.000000,5.000000,-688.066960
119.000000,5.000000,-360.126708
125.000000,5.000000,-80.008901
131.000000,5.000000,147.828265
136.000000,5.000000,-106.668181
142.000000,5.000000,-567.597493
148.000000,5.000000,-10.602401
153.000000,5.000000,-170.454568
159.000000,5.000000,-869.466021
165.000000,5.000000,-594.125326
170.000000,5.000000,-118.481311
176.000000,5.000000,-288.046480
182.000000,5.000000,-159.322244
187.000000,5.000000,-272.862661
193.000000,5.000000,-152.590757
199.000000,5.000000,325.610864
0.000000,6.000000,220.623242
5.000000,6.000000,576.409111
11.000000,6.000000,73.730469
17.000000,6.000000,-124.270927
22.000000,6.000000,-287.031044
28.000000,6.000000,-494.657000
34.000000,6.000000,-329.865368
39.000000,6.000000,-149.603667
45.000000,6.000000,-286.931464
51.000000,6.000000,-766.533776
56.000000,6.000000,-496.932085
62.000000,6.000000,-336.127238
68.000000,6.000000,-230.485308
73.000000,6.000000,220.882954
